Image Pair,Similarity
1,Low
2,Low
3,Medium
4,Low
5,Medium
6,Medium
7,High
8,Medium
9,Low
10,Medium
11,High
12,Low 
13,High
14,Medium
15,Medium
16,Medium
17,Low
18,High
19,Low
20,High
21,Medium
22,High
23,Medium
24,Low
25,Medium
26,Low
27,Medium
28,Medium
29,High
30,Medium
31,Medium
32,Medium
33,High
34,Medium
35,High
36,High
37,Medium
38,High
39,Medium
40,Low
41,High
42,Medium
43,Low
44,Low
45,Low
46,Low
47,Low
48,High
49,Medium
50,Low
51,Low
52,Low
53,High
54,High
55,High
56,Low
57,High
58,Low
59,Medium
60,Medium
61,High
62,High
63,Medium
64,Medium
65,Low
66,High
67,High
68,Low
69,Medium
70,Low
71,Low
72,Medium
73,High
74,High
75,High
76,High
77,Medium
78,Low
79,High
80,Medium
81,Medium
82,Medium
83,Low
84,High
85,High
86,Medium
87,Medium
88,High
89,High
90,High
91,Low
92,Low
93,High
94,High
95,Medium
96,Medium
97,Low
98,Medium
99,Medium
100,Medium
