participant_id,trial,stimulus_number,object_name,category,stimulus_type,is_lure,image_path,presentation_time,fixation_onset_time,fixation_offset_time,fixation_duration,image_onset_time,image_offset_time,is_question_trial,question_category,question_text,question_onset_time,answer,correct_answer,correct,timed_out,response_time,answer_click_time,feedback_onset_time,feedback_offset_time,feedback_duration
ZELIN,1,27,Owl,BIRD,Lure,True,STIMULI\BIRD\Owl\Lure_027.jpg,2026-02-10 14:06:05.531568,1770761165.203326,1770761165.531568,0.31467755240754713,1770761165.5775406,1770761166.0791574,False,,,,,,,,,,,,
ZELIN,2,58,Mosquito,INSECT,Lure,True,STIMULI\INSECT\Mosquito\Lure_058.jpg,2026-02-10 14:06:06.093036,1770761166.0930362,1770761166.3857164,0.27891587913919125,1770761166.4951615,1770761166.9953647,False,,,,,,,,,,,,
ZELIN,3,41,Apple,FRUIT,Lure,True,STIMULI\FRUIT\Apple\Lure_041.jpg,2026-02-10 14:06:06.995364,1770761166.9953647,1770761167.5914016,0.5840748189138447,1770761167.6895273,1770761168.1892362,False,,,,,,,,,,,,
ZELIN,4,98,Jeep,VEHICLE,Lure,True,STIMULI\VEHICLE\Jeep\Lure_098.jpg,2026-02-10 14:06:08.190237,1770761168.1902378,1770761168.6087816,0.40074468058046325,1770761168.6392581,1770761169.1402025,False,,,,,,,,,,,,
ZELIN,5,77,Glasses,SMALL_OBJECT,Lure,True,STIMULI\smallobject\Glasses\Lure_077.jpg,2026-02-10 14:06:09.140202,1770761169.1402025,1770761169.6507447,0.4890868877997165,1770761169.706635,1770761170.2086873,False,,,,,,,,,,,,
ZELIN,6,28,Parrot,BIRD,Image,False,STIMULI\BIRD\Parrot\Image_028.jpg,2026-02-10 14:06:10.208687,1770761170.2086873,1770761170.4841468,0.2622591790060825,1770761170.5228837,1770761171.024226,False,,,,,,,,,,,,
ZELIN,7,17,filingcabinet,BIG_OBJECT,Image,False,STIMULI\bigobject\filingcabinet\Image_017.jpg,2026-02-10 14:06:11.024748,1770761171.024748,1770761171.5329006,0.4914913712137414,1770761171.5731514,1770761172.0741346,False,,,,,,,,,,,,
ZELIN,8,70,Otter,SMALL_ANIMAL,Image,False,STIMULI\smallanimal\Otter\Image_070.jpg,2026-02-10 14:06:12.074134,1770761172.0741346,1770761172.4868796,0.39278966609314475,1770761172.6272807,1770761173.1280346,False,,,,,,,,,,,,
ZELIN,9,37,Pasta,FOOD,Lure,True,STIMULI\FOOD\Pasta\Lure_037.jpg,2026-02-10 14:06:13.128034,1770761173.1280346,1770761173.4672086,0.3262827331553081,1770761173.5400395,1770761174.0402102,False,,,,,,,,,,,,
ZELIN,10,48,Pineapple,FRUIT,Lure,True,STIMULI\FRUIT\Pineapple\Lure_048.jpg,2026-02-10 14:06:14.040210,1770761174.0402102,1770761174.5182383,0.4605186675793488,1770761174.7331042,1770761175.2343707,True,BIG_ANIMAL,Was the last object a big animal?,1770761175.2343707,False,False,True,False,5.0350756999105215,1770761180.3419926,1770761180.6485147,1770761182.2075858,1.5590710639953613
ZELIN,11,53,Beetle,INSECT,Lure,True,STIMULI\INSECT\Beetle\Lure_053.jpg,2026-02-10 14:06:22.207585,1770761182.2075858,1770761182.5876734,0.3623577772849749,1770761182.7408538,1770761183.241477,False,,,,,,,,,,,,
ZELIN,12,15,coatrack,BIG_OBJECT,Lure,True,STIMULI\bigobject\coatrack\Lure_015.jpg,2026-02-10 14:06:23.241986,1770761183.2419863,1770761183.7916515,0.5340159316506544,1770761183.8561056,1770761184.357397,False,,,,,,,,,,,,
ZELIN,13,59,Moth,INSECT,Image,False,STIMULI\INSECT\Moth\Image_059.jpg,2026-02-10 14:06:24.357908,1770761184.3579085,1770761184.831624,0.4540422417637892,1770761184.8731525,1770761185.3745906,False,,,,,,,,,,,,
ZELIN,14,35,Hotdog,FOOD,Image,False,STIMULI\FOOD\Hotdog\Image_035.jpg,2026-02-10 14:06:25.374590,1770761185.3745906,1770761185.8545473,0.4617449182746029,1770761186.0567305,1770761186.5584989,False,,,,,,,,,,,,
ZELIN,15,63,Dog,SMALL_ANIMAL,Lure,True,STIMULI\smallanimal\Dog\Lure_063.jpg,2026-02-10 14:06:26.558498,1770761186.5584989,1770761187.1921883,0.6191902414401802,1770761187.2049813,1770761187.7058802,False,,,,,,,,,,,,
ZELIN,16,8,Horse,BIG_ANIMAL,Lure,True,STIMULI\biganimal\Horse\Lure_008.jpg,2026-02-10 14:06:27.705880,1770761187.7058802,1770761188.3787177,0.6549788956422498,1770761188.423657,1770761188.9249585,False,,,,,,,,,,,,
ZELIN,17,4,Cheetah,BIG_ANIMAL,Image,False,STIMULI\biganimal\Cheetah\Image_004.jpg,2026-02-10 14:06:28.924958,1770761188.9258864,1770761189.4590924,0.5144867638934636,1770761189.490093,1770761189.9906957,False,,,,,,,,,,,,
ZELIN,18,66,Iguana,SMALL_ANIMAL,Image,False,STIMULI\smallanimal\Iguana\Image_066.jpg,2026-02-10 14:06:29.991207,1770761189.9912074,1770761190.2899203,0.2822095735139837,1770761190.3580372,1770761190.8595521,False,,,,,,,,,,,,
ZELIN,19,88,Kale,VEGETABLE,Image,False,STIMULI\VEGETABLE\Kale\Image_088.jpg,2026-02-10 14:06:30.859552,1770761190.860553,1770761191.2638083,0.3912107605539169,1770761191.3221781,1770761191.8229225,False,,,,,,,,,,,,
ZELIN,20,14,Chandelier,BIG_OBJECT,Image,False,STIMULI\bigobject\Chandelier\Image_014.jpg,2026-02-10 14:06:31.823434,1770761191.8234339,1770761192.3560667,0.5060621376405474,1770761192.405493,1770761192.907178,True,BIG_OBJECT,Was the last object a big object?,1770761192.907178,True,True,True,False,3.101600799942389,1770761196.1241405,1770761196.4340603,1770761197.9565794,1.5225191116333008
ZELIN,21,18,hottub,BIG_OBJECT,Image,False,STIMULI\bigobject\hottub\Image_018.jpg,2026-02-10 14:06:37.956579,1770761197.9565794,1770761198.4196825,0.4450808817982211,1770761198.4729576,1770761198.9740298,False,,,,,,,,,,,,
ZELIN,22,45,Mulberry,FRUIT,Lure,True,STIMULI\FRUIT\Mulberry\Lure_045.jpg,2026-02-10 14:06:38.974537,1770761198.9745376,1770761199.316779,0.3239943377765405,1770761199.3561995,1770761199.8569372,False,,,,,,,,,,,,
ZELIN,23,6,Giraffe,BIG_ANIMAL,Image,False,STIMULI\biganimal\Giraffe\Image_006.jpg,2026-02-10 14:06:39.856937,1770761199.8579304,1770761200.1950662,0.3198951945006241,1770761200.2558582,1770761200.7567692,False,,,,,,,,,,,,
ZELIN,24,23,Flamingo,BIRD,Lure,True,STIMULI\BIRD\Flamingo\Lure_023.jpg,2026-02-10 14:06:40.757281,1770761200.7572813,1770761201.3860965,0.6083523735277763,1770761201.4394934,1770761201.9407432,False,,,,,,,,,,,,
ZELIN,25,62,Cat,SMALL_ANIMAL,Lure,True,STIMULI\smallanimal\Cat\Lure_062.jpg,2026-02-10 14:06:41.940743,1770761201.9407432,1770761202.5945063,0.6318979493304719,1770761202.6396086,1770761203.1403499,False,,,,,,,,,,,,
ZELIN,26,4,Cheetah,BIG_ANIMAL,Lure,True,STIMULI\biganimal\Cheetah\Lure_004.jpg,2026-02-10 14:06:43.140350,1770761203.1403499,1770761203.9020648,0.7437992377515914,1770761203.9899538,1770761204.4906912,False,,,,,,,,,,,,
ZELIN,27,85,Bean,VEGETABLE,Lure,True,STIMULI\VEGETABLE\Bean\Lure_085.jpg,2026-02-10 14:06:44.490691,1770761204.4917004,1770761205.1918557,0.6799404802907798,1770761205.256602,1770761205.7578766,False,,,,,,,,,,,,
ZELIN,28,87,Carrot,VEGETABLE,Image,False,STIMULI\VEGETABLE\Carrot\Image_087.jpg,2026-02-10 14:06:45.757876,1770761205.7578766,1770761206.3284361,0.5549990179443837,1770761206.391073,1770761206.8917277,False,,,,,,,,,,,,
ZELIN,29,46,Orange,FRUIT,Lure,True,STIMULI\FRUIT\Orange\Lure_046.jpg,2026-02-10 14:06:46.891727,1770761206.8917277,1770761207.4850895,0.5757948211928573,1770761207.538699,1770761208.0393534,False,,,,,,,,,,,,
ZELIN,30,32,Burrito,FOOD,Lure,True,STIMULI\FOOD\Burrito\Lure_032.jpg,2026-02-10 14:06:48.039353,1770761208.040363,1770761208.7576845,0.7006368057886396,1770761208.8403876,1770761209.341416,True,FOOD,Was the last object a food?,1770761209.341416,True,True,True,False,1.6855899000074714,1770761211.1403522,1770761211.4478672,1770761212.998794,1.550926923751831
