participant_id,trial,stimulus_number,object_name,category,presentation_time,is_question_trial,question_category,question_text,answer,correct_answer,correct,timed_out,response_time
kini,1,26,Hummingbird,BIRD,2026-01-30 02:01:28.388909,False,,,,,,,
kini,2,52,Bee,INSECT,2026-01-30 02:01:30.020908,False,,,,,,,
kini,3,30,Penguin,BIRD,2026-01-30 02:01:31.549339,False,,,,,,,
kini,4,31,Bagel,FOOD,2026-01-30 02:01:33.074842,False,,,,,,,
kini,5,3,Camel,BIG_ANIMAL,2026-01-30 02:01:34.729467,False,,,,,,,
kini,6,63,Dog,SMALL_ANIMAL,2026-01-30 02:01:36.309280,False,,,,,,,
kini,7,53,Beetle,INSECT,2026-01-30 02:01:37.851935,False,,,,,,,
kini,8,32,Burrito,FOOD,2026-01-30 02:01:39.491281,False,,,,,,,
kini,9,84,Basil,VEGETABLE,2026-01-30 02:01:41.061996,False,,,,,,,
kini,10,92,Bike,VEHICLE,2026-01-30 02:01:42.947004,True,VEHICLE,Was the last object a vehicle?,True,True,True,False,3.0095001249574125
kini,11,15,Coat_rack,BIG_OBJECT,2026-01-30 02:01:47.903516,False,,,,,,,
kini,12,24,Goose,BIRD,2026-01-30 02:01:49.444346,False,,,,,,,
kini,13,27,Owl,BIRD,2026-01-30 02:01:50.980172,False,,,,,,,
kini,14,100,Van,VEHICLE,2026-01-30 02:01:52.504732,False,,,,,,,
kini,15,37,Pasta,FOOD,2026-01-30 02:01:54.086522,False,,,,,,,
kini,16,50,Watermelon,FRUIT,2026-01-30 02:01:55.624791,False,,,,,,,
kini,17,57,Fly,INSECT,2026-01-30 02:01:57.175479,False,,,,,,,
kini,18,41,Apple,FRUIT,2026-01-30 02:01:58.715779,False,,,,,,,
kini,19,99,Jetski,VEHICLE,2026-01-30 02:02:00.262492,False,,,,,,,
kini,20,97,Helicopter,VEHICLE,2026-01-30 02:02:01.799381,True,VEHICLE,Was the last object a vehicle?,TIMEOUT,True,,True,10.0
kini,21,21,Chicken,BIRD,2026-01-30 02:02:15.529740,False,,,,,,,
kini,22,56,Caterpillar,INSECT,2026-01-30 02:02:17.327050,False,,,,,,,
kini,23,60,Wasp,INSECT,2026-01-30 02:02:18.916113,False,,,,,,,
kini,24,65,Groundhog,SMALL_ANIMAL,2026-01-30 02:02:20.504907,False,,,,,,,
kini,25,38,Pie,FOOD,2026-01-30 02:02:22.115218,False,,,,,,,
kini,26,80,Lamp,SMALL_OBJECT,2026-01-30 02:02:23.646639,False,,,,,,,
kini,27,58,Mosquito,INSECT,2026-01-30 02:02:25.189671,False,,,,,,,
kini,28,79,Key,SMALL_OBJECT,2026-01-30 02:02:26.757765,False,,,,,,,
kini,29,20,Phonebooth,BIG_OBJECT,2026-01-30 02:02:28.352539,False,,,,,,,
kini,30,49,Strawberry,FRUIT,2026-01-30 02:02:29.919196,True,FRUIT,Was the last object a fruit?,TIMEOUT,True,,True,10.0
kini,31,1,Alligator,BIG_ANIMAL,2026-01-30 02:02:45.479593,False,,,,,,,
kini,32,83,Avocado,VEGETABLE,2026-01-30 02:02:47.503028,False,,,,,,,
kini,33,91,Airplane,VEHICLE,2026-01-30 02:02:49.801103,False,,,,,,,
kini,34,59,Moth,INSECT,2026-01-30 02:02:51.765618,False,,,,,,,
kini,35,93,Boat,VEHICLE,2026-01-30 02:02:53.361387,False,,,,,,,
kini,36,94,Bus,VEHICLE,2026-01-30 02:02:54.973008,False,,,,,,,
kini,37,2,Alpaca,BIG_ANIMAL,2026-01-30 02:02:58.546382,False,,,,,,,
kini,38,12,Bench,BIG_OBJECT,2026-01-30 02:03:00.657027,False,,,,,,,
