participant_id,trial,stimulus_number,object_name,category,stimulus_type,is_lure,image_path,presentation_time,localizer_fixation_onset_trigger,localizer_fixation_offset_trigger,fixation_duration,localizer_image_onset_trigger,localizer_image_offset_trigger,is_question_trial,question_object,question_text,question_trigger,question_answer_trigger,answer,correct_answer,correct,timed_out,response_time,answer_click_time
p1,1,42,Banana,FRUIT,Lure,True,STIMULI/FRUIT/Banana/Lure_042.jpg,2026-02-13 18:19:37.031881,1771024776.36236,1771024777.011261,0.6246140704064388,1771024777.105514,1771024777.626296,False,,,,,,,,,,
p1,2,1,Alligator,BIG_ANIMAL,Lure,True,STIMULI/biganimal/Alligator/Lure_001.jpg,2026-02-13 18:19:37.644750,1771024777.6521752,1771024778.191992,0.517121488906975,1771024778.256581,1771024778.778698,False,,,,,,,,,,
p1,3,82,Asparagus,VEGETABLE,Image,False,STIMULI/VEGETABLE/Asparagus/Image_082.jpg,2026-02-13 18:19:38.806074,1771024778.8166451,1771024779.400966,0.5623147334542911,1771024779.4535449,1771024779.97542,False,,,,,,,,,,
p1,4,39,Pizza,FOOD,Lure,True,STIMULI/FOOD/Pizza/Lure_039.jpg,2026-02-13 18:19:39.993822,1771024779.995605,1771024780.51766,0.49676492199331884,1771024780.582506,1771024781.103233,False,,,,,,,,,,
p1,5,54,Bug,INSECT,Lure,True,STIMULI/INSECT/Bug/Lure_054.jpg,2026-02-13 18:19:41.122601,1771024781.1301298,1771024781.711753,0.5563800712837266,1771024781.7725928,1771024782.293422,False,,,,,,,,,,
p1,6,28,Parrot,BIRD,Image,False,STIMULI/BIRD/Parrot/Image_028.jpg,2026-02-13 18:19:42.311716,1771024782.319971,1771024782.605909,0.2627799704930986,1771024782.636456,1771024783.157519,False,,,,,,,,,,
p1,7,95,Car,VEHICLE,Image,False,STIMULI/VEHICLE/Car/Image_095.jpg,2026-02-13 18:19:43.175993,1771024783.1805198,1771024783.488537,0.2835568539416493,1771024783.51936,1771024784.040246,False,,,,,,,,,,
p1,8,20,Phonebooth,BIG_OBJECT,Image,False,STIMULI/bigobject/Phonebooth/Image_020.jpg,2026-02-13 18:19:44.058714,1771024784.0623481,1771024784.6628852,0.5800530048562633,1771024784.695601,1771024785.215673,False,,,,,,,,,,
p1,9,50,Watermelon,FRUIT,Lure,True,STIMULI/FRUIT/Watermelon/Lure_050.jpg,2026-02-13 18:19:45.237363,1771024785.245673,1771024785.7823381,0.5162290838574902,1771024785.853506,1771024786.37395,False,,,,,,,,,,
p1,10,77,PairOfGlasses,SMALL_OBJECT,Lure,True,STIMULI/smallobject/PairOfGlasses/Lure_077.jpg,2026-02-13 18:19:46.392004,1771024786.396672,1771024787.032495,0.6120173846728407,1771024787.0895202,1771024787.610208,True,icecream,Was the last object an icecream?,1771024787.665876,1771024789.3790221,False,False,True,False,1.7031504583355854,1771024789.3973582
p1,11,57,Fly,INSECT,Image,False,STIMULI/INSECT/Fly/Image_057.jpg,2026-02-13 18:19:49.398788,1771024789.412267,1771024790.090679,0.6540681650995196,1771024790.1206799,1771024790.6408389,False,,,,,,,,,,
p1,12,97,Helicopter,VEHICLE,Image,False,STIMULI/VEHICLE/Helicopter/Image_097.jpg,2026-02-13 18:19:50.659125,1771024790.66306,1771024791.331667,0.6456959333848988,1771024791.389697,1771024791.9099011,False,,,,,,,,,,
p1,13,4,Cheetah,BIG_ANIMAL,Lure,True,STIMULI/biganimal/Cheetah/Lure_004.jpg,2026-02-13 18:19:51.927957,1771024791.9456792,1771024792.391542,0.42257700295641115,1771024792.4564428,1771024792.9777899,False,,,,,,,,,,
p1,14,37,Pasta,FOOD,Image,False,STIMULI/FOOD/Pasta/Image_037.jpg,2026-02-13 18:19:52.996293,1771024793.0138738,1771024793.4284,0.39167926344306936,1771024793.462351,1771024793.982955,False,,,,,,,,,,
p1,15,71,Balloon,SMALL_OBJECT,Image,False,STIMULI/smallobject/Balloon/Image_071.jpg,2026-02-13 18:19:54.005078,1771024794.012356,1771024794.555558,0.5232592342373389,1771024794.586881,1771024795.1069372,False,,,,,,,,,,
p1,16,41,Apple,FRUIT,Lure,True,STIMULI/FRUIT/Apple/Lure_041.jpg,2026-02-13 18:19:55.125937,1771024795.1297789,1771024795.855926,0.7027127183409672,1771024795.91737,1771024796.441833,False,,,,,,,,,,
p1,17,92,Bike,VEHICLE,Image,False,STIMULI/VEHICLE/Bike/Image_092.jpg,2026-02-13 18:19:56.460981,1771024796.4790442,1771024796.8110342,0.30478014186858354,1771024796.854191,1771024797.374505,False,,,,,,,,,,
p1,18,93,Boat,VEHICLE,Lure,True,STIMULI/VEHICLE/Boat/Lure_093.jpg,2026-02-13 18:19:57.392544,1771024797.396966,1771024797.82531,0.4037936623852167,1771024797.883507,1771024798.406485,False,,,,,,,,,,
p1,19,94,Bus,VEHICLE,Image,False,STIMULI/VEHICLE/Bus/Image_094.jpg,2026-02-13 18:19:58.424539,1771024798.4289138,1771024798.908096,0.4581954914429781,1771024799.053236,1771024799.574213,False,,,,,,,,,,
