timestamp,event_type
1771260137.761220694,localizer_fixation_onset_trigger
1771260138.438705683,localizer_fixation_offset_trigger
1771260138.541974545,localizer_image_onset_trigger
1771260139.074078798,localizer_image_offset_trigger
1771260139.105233908,localizer_fixation_onset_trigger
1771260139.428094864,localizer_fixation_offset_trigger
1771260139.514096975,localizer_image_onset_trigger
1771260140.045034647,localizer_image_offset_trigger
1771260140.072829247,localizer_fixation_onset_trigger
1771260140.495943785,localizer_fixation_offset_trigger
1771260140.618283272,localizer_image_onset_trigger
1771260141.147483110,localizer_image_offset_trigger
1771260141.183347702,localizer_fixation_onset_trigger
1771260141.566160440,localizer_fixation_offset_trigger
1771260141.660224438,localizer_image_onset_trigger
1771260142.181659460,localizer_image_offset_trigger
1771260142.216517687,localizer_fixation_onset_trigger
1771260142.757350683,localizer_fixation_offset_trigger
1771260142.806471825,localizer_image_onset_trigger
1771260143.333163738,localizer_image_offset_trigger
1771260143.366456270,localizer_fixation_onset_trigger
1771260143.967376947,localizer_fixation_offset_trigger
1771260144.046270370,localizer_image_onset_trigger
1771260144.566970110,localizer_image_offset_trigger
1771260144.599846601,localizer_fixation_onset_trigger
1771260145.314113617,localizer_fixation_offset_trigger
1771260145.420281649,localizer_image_onset_trigger
1771260145.948861599,localizer_image_offset_trigger
1771260145.983690262,localizer_fixation_onset_trigger
1771260146.342774391,localizer_fixation_offset_trigger
1771260146.436411142,localizer_image_onset_trigger
1771260146.968643665,localizer_image_offset_trigger
1771260147.000363350,localizer_fixation_onset_trigger
1771260147.754265785,localizer_fixation_offset_trigger
1771260147.824733019,localizer_image_onset_trigger
1771260148.346664667,localizer_image_offset_trigger
1771260148.383694410,localizer_fixation_onset_trigger
1771260148.852873802,localizer_fixation_offset_trigger
1771260148.971055984,localizer_image_onset_trigger
1771260149.501045704,localizer_image_offset_trigger
1771260149.631177187,question_trigger
1771260152.491519451,question_answer_trigger
1771260152.835012436,localizer_fixation_onset_trigger
1771260153.183611155,localizer_fixation_offset_trigger
1771260153.236567020,localizer_image_onset_trigger
1771260153.758576632,localizer_image_offset_trigger
1771260153.791892767,localizer_fixation_onset_trigger
1771260154.503367662,localizer_fixation_offset_trigger
1771260154.547496080,localizer_image_onset_trigger
1771260155.073905468,localizer_image_offset_trigger
1771260155.108173847,localizer_fixation_onset_trigger
1771260155.395449877,localizer_fixation_offset_trigger
1771260155.465633869,localizer_image_onset_trigger
1771260155.994498968,localizer_image_offset_trigger
1771260156.025329590,localizer_fixation_onset_trigger
1771260156.560257673,localizer_fixation_offset_trigger
1771260156.628510714,localizer_image_onset_trigger
1771260157.163848639,localizer_image_offset_trigger
1771260157.191974401,localizer_fixation_onset_trigger
1771260157.824682236,localizer_fixation_offset_trigger
1771260157.966482878,localizer_image_onset_trigger
1771260158.494153738,localizer_image_offset_trigger
1771260158.527188301,localizer_fixation_onset_trigger
1771260159.093026161,localizer_fixation_offset_trigger
1771260159.224266768,localizer_image_onset_trigger
1771260159.755444288,localizer_image_offset_trigger
1771260159.791505098,localizer_fixation_onset_trigger
1771260160.251629353,localizer_fixation_offset_trigger
1771260160.340047121,localizer_image_onset_trigger
1771260160.855677605,localizer_image_offset_trigger
1771260160.874338388,localizer_fixation_onset_trigger
1771260161.166872263,localizer_fixation_offset_trigger
1771260161.198628902,localizer_image_onset_trigger
1771260161.725844145,localizer_image_offset_trigger
1771260161.758682013,localizer_fixation_onset_trigger
1771260162.114388704,localizer_fixation_offset_trigger
1771260162.187587023,localizer_image_onset_trigger
1771260162.707897663,localizer_image_offset_trigger
1771260162.741502762,localizer_fixation_onset_trigger
1771260163.071516514,localizer_fixation_offset_trigger
1771260163.233894825,localizer_image_onset_trigger
1771260163.768880606,localizer_image_offset_trigger
1771260163.917348623,question_trigger
1771260167.083611488,question_answer_trigger
1771260167.427375078,localizer_fixation_onset_trigger
1771260168.101897717,localizer_fixation_offset_trigger
1771260168.183575392,localizer_image_onset_trigger
1771260168.718132496,localizer_image_offset_trigger
1771260168.749821901,localizer_fixation_onset_trigger
1771260169.296941757,localizer_fixation_offset_trigger
1771260169.392640829,localizer_image_onset_trigger
1771260169.914582729,localizer_image_offset_trigger
1771260169.933130980,localizer_fixation_onset_trigger
1771260170.378447056,localizer_fixation_offset_trigger
1771260170.440508127,localizer_image_onset_trigger
1771260170.964242935,localizer_image_offset_trigger
1771260170.999821901,localizer_fixation_onset_trigger
1771260171.517801285,localizer_fixation_offset_trigger
1771260171.746857643,localizer_image_onset_trigger
1771260172.270259619,localizer_image_offset_trigger
1771260172.300254107,localizer_fixation_onset_trigger
1771260172.635709524,localizer_fixation_offset_trigger
1771260172.703464270,localizer_image_onset_trigger
1771260173.240632296,localizer_image_offset_trigger
1771260173.266690969,localizer_fixation_onset_trigger
1771260173.863519430,localizer_fixation_offset_trigger
1771260173.970314026,localizer_image_onset_trigger
1771260174.499177217,localizer_image_offset_trigger
1771260174.533424854,localizer_fixation_onset_trigger
1771260175.134906769,localizer_fixation_offset_trigger
1771260175.251921654,localizer_image_onset_trigger
1771260175.788779259,localizer_image_offset_trigger
1771260175.817017555,localizer_fixation_onset_trigger
1771260176.421630383,localizer_fixation_offset_trigger
1771260176.551064730,localizer_image_onset_trigger
1771260177.084229708,localizer_image_offset_trigger
1771260177.118985891,localizer_fixation_onset_trigger
1771260177.824948311,localizer_fixation_offset_trigger
1771260177.930550098,localizer_image_onset_trigger
1771260178.453581095,localizer_image_offset_trigger
1771260178.483150482,localizer_fixation_onset_trigger
1771260178.793338060,localizer_fixation_offset_trigger
1771260178.911737442,localizer_image_onset_trigger
1771260179.432687283,localizer_image_offset_trigger
1771260179.566938162,question_trigger
1771260189.681094408,timeout_warning_onset
1771260191.725642920,timeout_warning_offset
1771260191.749819756,localizer_fixation_onset_trigger
1771260192.480976582,localizer_fixation_offset_trigger
1771260192.576447010,localizer_image_onset_trigger
1771260193.099294901,localizer_image_offset_trigger
1771260193.133666515,localizer_fixation_onset_trigger
1771260193.590782642,localizer_fixation_offset_trigger
1771260193.697689533,localizer_image_onset_trigger
1771260194.218198538,localizer_image_offset_trigger
1771260194.250338316,localizer_fixation_onset_trigger
1771260195.015007496,localizer_fixation_offset_trigger
1771260195.121804953,localizer_image_onset_trigger
1771260195.649185896,localizer_image_offset_trigger
1771260195.683150530,localizer_fixation_onset_trigger
1771260196.204594612,localizer_fixation_offset_trigger
1771260196.257654667,localizer_image_onset_trigger
1771260196.780445337,localizer_image_offset_trigger
1771260196.816483736,localizer_fixation_onset_trigger
1771260197.172040224,localizer_fixation_offset_trigger
1771260197.258051395,localizer_image_onset_trigger
1771260197.785089254,localizer_image_offset_trigger
1771260197.815586090,localizer_fixation_onset_trigger
1771260198.600270033,localizer_fixation_offset_trigger
1771260198.679413080,localizer_image_onset_trigger
1771260199.199023247,localizer_image_offset_trigger
1771260199.233373165,localizer_fixation_onset_trigger
1771260199.744944096,localizer_fixation_offset_trigger
1771260199.841164351,localizer_image_onset_trigger
1771260200.375117540,localizer_image_offset_trigger
1771260200.402663946,localizer_fixation_onset_trigger
1771260200.868664265,localizer_fixation_offset_trigger
1771260201.019817591,localizer_image_onset_trigger
1771260201.548898697,localizer_image_offset_trigger
1771260201.585678816,localizer_fixation_onset_trigger
1771260202.086788654,localizer_fixation_offset_trigger
1771260202.268800735,localizer_image_onset_trigger
1771260202.805418253,localizer_image_offset_trigger
1771260202.833674908,localizer_fixation_onset_trigger
1771260203.272971630,localizer_fixation_offset_trigger
1771260203.395671606,localizer_image_onset_trigger
1771260203.921661377,localizer_image_offset_trigger
1771260204.035641670,question_trigger
1771260205.250269175,question_answer_trigger
1771260205.594879627,localizer_fixation_onset_trigger
1771260206.214996815,localizer_fixation_offset_trigger
1771260206.359296560,localizer_image_onset_trigger
1771260206.899276495,localizer_image_offset_trigger
1771260206.926088095,localizer_fixation_onset_trigger
1771260207.526214600,localizer_fixation_offset_trigger
1771260207.663421154,localizer_image_onset_trigger
1771260208.197799683,localizer_image_offset_trigger
1771260208.224798203,localizer_fixation_onset_trigger
1771260208.897491455,localizer_fixation_offset_trigger
1771260209.020911694,localizer_image_onset_trigger
1771260209.543555737,localizer_image_offset_trigger
1771260209.577767134,localizer_fixation_onset_trigger
1771260210.245378733,localizer_fixation_offset_trigger
1771260210.361900806,localizer_image_onset_trigger
1771260210.890241385,localizer_image_offset_trigger
1771260210.908084631,localizer_fixation_onset_trigger
1771260211.192441702,localizer_fixation_offset_trigger
1771260211.313558340,localizer_image_onset_trigger
1771260211.843054056,localizer_image_offset_trigger
1771260211.875328541,localizer_fixation_onset_trigger
1771260212.655833006,localizer_fixation_offset_trigger
1771260212.795221090,localizer_image_onset_trigger
1771260213.327448845,localizer_image_offset_trigger
1771260213.358315468,localizer_fixation_onset_trigger
1771260213.989648581,localizer_fixation_offset_trigger
1771260214.038996458,localizer_image_onset_trigger
1771260214.561959028,localizer_image_offset_trigger
1771260214.591414213,localizer_fixation_onset_trigger
1771260214.905257225,localizer_fixation_offset_trigger
1771260214.984620810,localizer_image_onset_trigger
1771260215.509371281,localizer_image_offset_trigger
1771260215.541388988,localizer_fixation_onset_trigger
1771260215.861658335,localizer_fixation_offset_trigger
1771260215.917096138,localizer_image_onset_trigger
1771260216.439313889,localizer_image_offset_trigger
1771260216.476018190,localizer_fixation_onset_trigger
1771260216.849250317,localizer_fixation_offset_trigger
1771260216.900712013,localizer_image_onset_trigger
