block,phase,trial,image_path,image_onset,image_offset,image_duration,fixation_onset,fixation_offset,fixation_duration
1,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Giraffe\Image_006.jpg,1770761622.0979357,1770761623.099257,1.0,1770761621.2688203,1770761622.0188143,0.7368061361768531
1,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Envelope\Image_075.jpg,1770761623.753401,1770761624.7538757,1.0,1770761623.099257,1770761623.4240673,0.308261204653701
1,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Parrot\Image_028.jpg,1770761625.48165,1770761626.4823706,1.0,1770761624.7538757,1770761625.446247,0.6768372585375776
1,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Hotdog\Image_035.jpg,1770761627.0298026,1770761628.030479,1.0,1770761626.4823706,1770761626.8172648,0.31920015423738585
1,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Iguana\Image_066.jpg,1770761628.4314456,1770761629.4331322,1.0,1770761628.030479,1770761628.371574,0.3224291881524598
1,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Apple\Image_041.jpg,1770761630.131265,1770761631.132585,1.0,1770761629.4331322,1770761630.0628405,0.6111379531497494
1,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Moth\Image_059.jpg,1770761631.5821958,1770761632.5831869,1.0,1770761631.132585,1770761631.5308769,0.38227823676767764
1,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Van\Image_100.jpg,1770761632.9302175,1770761633.9310834,1.0,1770761632.5831869,1770761632.8487222,0.2504614991352264
1,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\filingcabinet\Image_017.jpg,1770761634.4930515,1770761635.4932265,1.0,1770761633.9310834,1770761634.4236426,0.474966525347649
1,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Carrot\Image_087.jpg,1770761636.2488632,1770761637.2504692,1.0,1770761635.4932265,1770761636.1831348,0.6642146222357715
