block,phase,trial,image_path,onset_time
0,study,1,PLACEHOLDERS/IMAGE_10.png,1764823974.6461608
0,study,2,PLACEHOLDERS/IMAGE_4.png,1764823977.198594
0,study,3,PLACEHOLDERS/IMAGE_2.png,1764823979.763098
0,study,4,PLACEHOLDERS/IMAGE_1.png,1764823982.324121
0,study,5,PLACEHOLDERS/IMAGE_3.png,1764823984.8657851
1,study,1,PLACEHOLDERS/IMAGE_100.png,1764824071.150178
1,study,2,PLACEHOLDERS/IMAGE_94.png,1764824073.66685
1,study,3,PLACEHOLDERS/IMAGE_8.png,1764824076.188617
1,study,4,PLACEHOLDERS/IMAGE_70.png,1764824078.703365
1,study,5,PLACEHOLDERS/IMAGE_75.png,1764824081.22327
1,study,6,PLACEHOLDERS/IMAGE_89.png,1764824083.747335
1,study,7,PLACEHOLDERS/IMAGE_72.png,1764824086.262057
1,study,8,PLACEHOLDERS/IMAGE_67.png,1764824088.7797298
1,study,9,PLACEHOLDERS/IMAGE_5.png,1764824091.2972128
1,study,10,PLACEHOLDERS/IMAGE_97.png,1764824093.8125691
2,study,1,PLACEHOLDERS/IMAGE_16.png,1764824286.376866
2,study,2,PLACEHOLDERS/IMAGE_28.png,1764824288.8938649
2,study,3,PLACEHOLDERS/IMAGE_40.png,1764824291.410167
2,study,4,PLACEHOLDERS/IMAGE_81.png,1764824293.928549
2,study,5,PLACEHOLDERS/IMAGE_43.png,1764824296.456831
2,study,6,PLACEHOLDERS/IMAGE_90.png,1764824298.9734669
2,study,7,PLACEHOLDERS/IMAGE_47.png,1764824301.489795
2,study,8,PLACEHOLDERS/IMAGE_77.png,1764824304.012017
2,study,9,PLACEHOLDERS/IMAGE_65.png,1764824306.531947
2,study,10,PLACEHOLDERS/IMAGE_14.png,1764824309.045553
3,study,1,PLACEHOLDERS/IMAGE_30.png,1764824509.1929111
3,study,2,PLACEHOLDERS/IMAGE_73.png,1764824511.710613
3,study,3,PLACEHOLDERS/IMAGE_62.png,1764824514.2296588
3,study,4,PLACEHOLDERS/IMAGE_38.png,1764824516.7470038
3,study,5,PLACEHOLDERS/IMAGE_76.png,1764824519.265464
3,study,6,PLACEHOLDERS/IMAGE_50.png,1764824521.7938628
3,study,7,PLACEHOLDERS/IMAGE_21.png,1764824524.312029
3,study,8,PLACEHOLDERS/IMAGE_44.png,1764824526.826963
3,study,9,PLACEHOLDERS/IMAGE_48.png,1764824529.3484879
3,study,10,PLACEHOLDERS/IMAGE_59.png,1764824531.8663292
4,study,1,PLACEHOLDERS/IMAGE_98.png,1764824868.801066
4,study,2,PLACEHOLDERS/IMAGE_93.png,1764824871.326418
4,study,3,PLACEHOLDERS/IMAGE_55.png,1764824873.849508
4,study,4,PLACEHOLDERS/IMAGE_17.png,1764824876.376506
4,study,5,PLACEHOLDERS/IMAGE_96.png,1764824878.895864
4,study,6,PLACEHOLDERS/IMAGE_4.png,1764824881.441535
4,study,7,PLACEHOLDERS/IMAGE_7.png,1764824883.9602199
4,study,8,PLACEHOLDERS/IMAGE_80.png,1764824886.480299
4,study,9,PLACEHOLDERS/IMAGE_91.png,1764824889.0004742
4,study,10,PLACEHOLDERS/IMAGE_29.png,1764824891.5242722
