block,phase,trial,image_path,onset_time
0,study,1,PLACEHOLDERS/IMAGE_10.png,1764913712.950185
0,study,2,PLACEHOLDERS/IMAGE_2.png,1764913715.488467
0,study,3,PLACEHOLDERS/IMAGE_1.png,1764913718.0129752
0,study,4,PLACEHOLDERS/IMAGE_4.png,1764913720.566995
0,study,5,PLACEHOLDERS/IMAGE_3.png,1764913723.105818
1,study,1,STIMULI/FRUIT/Apple/Image_041.jpg,1764913803.865228
1,study,2,STIMULI/VEHICLE/Cruise_ship/Image_096.jpg,1764913806.40821
1,study,3,STIMULI/INSECT/Bug/Image_054.jpg,1764913808.934686
1,study,4,STIMULI/VEGETABLE/Basil/Image_084.jpg,1764913811.4824178
1,study,5,STIMULI/SMALL_ANIMAL/Iguana/Image_066.jpg,1764913814.0174122
1,study,6,STIMULI/BIRD/Parrot/Image_028.jpg,1764913816.534729
1,study,7,STIMULI/SMALL_OBJECT/Camera/Image_074.jpg,1764913819.0681422
1,study,8,STIMULI/BIG_ANIMAL/Horse/Image_008.jpg,1764913821.606828
1,study,9,STIMULI/FOOD/Hotdog/Image_035.jpg,1764913824.286186
1,study,10,STIMULI/BIG_OBJECT/Filing_cabinet/Image_017.jpg,1764913826.812025
2,study,1,STIMULI/BIRD/Hawk/Image_025.jpg,1764914003.99783
2,study,2,STIMULI/SMALL_ANIMAL/Otter/Image_070.jpg,1764914006.588972
2,study,3,STIMULI/BIG_ANIMAL/Walrus/Image_009.jpg,1764914009.143276
2,study,4,STIMULI/FRUIT/Banana/Image_042.jpg,1764914012.112863
2,study,5,STIMULI/BIG_OBJECT/Mailbox/Image_019.jpg,1764914014.82814
2,study,6,STIMULI/FOOD/Bagel/Image_031.jpg,1764914017.477765
2,study,7,STIMULI/INSECT/Fly/Image_057.jpg,1764914020.000117
2,study,8,STIMULI/VEGETABLE/Kale/Image_088.jpg,1764914022.5631921
2,study,9,STIMULI/SMALL_OBJECT/Blender/Image_073.jpg,1764914025.097836
2,study,10,STIMULI/VEHICLE/Bike/Image_092.jpg,1764914027.632909
3,study,1,STIMULI/BIG_OBJECT/Chandelier/Image_014.jpg,1764914274.2642062
3,study,2,STIMULI/INSECT/Wasp/Image_060.jpg,1764914276.920893
3,study,3,STIMULI/BIRD/Duck/Image_022.jpg,1764914279.464733
3,study,4,STIMULI/VEGETABLE/Bok_choy/Image_086.jpg,1764914282.019371
3,study,5,STIMULI/VEHICLE/Jetski/Image_099.jpg,1764914284.6619961
3,study,6,STIMULI/FRUIT/Strawberry/Image_049.jpg,1764914287.302345
3,study,7,STIMULI/FOOD/Ice_cream/Image_036.jpg,1764914289.905511
3,study,8,STIMULI/SMALL_ANIMAL/Beaver/Image_061.jpg,1764914292.465884
3,study,9,STIMULI/SMALL_OBJECT/Key/Image_079.jpg,1764914295.2144482
3,study,10,STIMULI/BIG_ANIMAL/Hippopotamus/Image_007.jpg,1764914297.8723378
4,study,1,STIMULI/BIG_ANIMAL/Alligator/Image_001.jpg,1764915414.1993878
4,study,2,STIMULI/FOOD/Pizza/Image_039.jpg,1764915417.014674
4,study,3,STIMULI/INSECT/Butterfly/Image_055.jpg,1764915420.017084
4,study,4,STIMULI/BIRD/Goose/Image_024.jpg,1764915422.5829298
4,study,5,STIMULI/FRUIT/Mulberry/Image_045.jpg,1764915425.121425
4,study,6,STIMULI/VEGETABLE/Squash/Image_090.jpg,1764915427.658602
4,study,7,STIMULI/BIG_OBJECT/Barrel/Image_011.jpg,1764915430.215543
4,study,8,STIMULI/SMALL_OBJECT/Globe/Image_078.jpg,1764915432.740593
4,study,9,STIMULI/SMALL_ANIMAL/Koala/Image_067.jpg,1764915435.2736268
4,study,10,STIMULI/VEHICLE/Jeep/Image_098.jpg,1764915437.899885
5,study,1,STIMULI/VEGETABLE/Arugula/Image_081.jpg,1764915603.047898
5,study,2,STIMULI/BIG_OBJECT/Chair/Image_013.jpg,1764915605.605498
5,study,3,STIMULI/FRUIT/Watermelon/Image_050.jpg,1764915608.14847
5,study,4,STIMULI/BIG_ANIMAL/Cheetah/Image_004.jpg,1764915610.6847491
5,study,5,STIMULI/FOOD/Pie/Image_038.jpg,1764915613.217708
5,study,6,STIMULI/SMALL_ANIMAL/Monkey/Image_068.jpg,1764915615.754881
5,study,7,STIMULI/BIRD/Peacock/Image_029.jpg,1764915618.287099
5,study,8,STIMULI/SMALL_OBJECT/Envelope/Image_075.jpg,1764915621.05133
5,study,9,STIMULI/VEHICLE/Boat/Image_093.jpg,1764915623.593452
5,study,10,STIMULI/INSECT/Ants/Image_051.jpg,1764915626.1170838
6,study,1,STIMULI/SMALL_ANIMAL/Groundhog/Image_065.jpg,1764915783.150926
6,study,2,STIMULI/SMALL_OBJECT/Balloon/Image_071.jpg,1764915785.7138119
6,study,3,STIMULI/BIRD/Hummingbird/Image_026.jpg,1764915788.2601118
6,study,4,STIMULI/INSECT/Moth/Image_059.jpg,1764915790.802482
6,study,5,STIMULI/VEGETABLE/Asparagus/Image_082.jpg,1764915793.3416572
6,study,6,STIMULI/BIG_ANIMAL/Giraffe/Image_006.jpg,1764915795.883543
6,study,7,STIMULI/FRUIT/Pineapple/Image_048.jpg,1764915798.601413
