block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
1,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Peach\Image_047.jpg,1771260696.20032,1771260696.8107307,0.5839714260527619,1771260696.8618944,1771260697.8735988,1.0
1,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Frog\Image_064.jpg,1771260697.8985791,1771260698.463757,0.5403460846182022,1771260698.5393994,1771260699.5655875,1.0
1,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Caterpillar\Image_056.jpg,1771260699.5994005,1771260700.0637987,0.4402546483806369,1771260700.2133284,1771260701.2366054,1.0
1,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Bike\Image_092.jpg,1771260701.2659717,1771260701.5544114,0.26319301717241556,1771260701.6421397,1771260702.6571593,1.0
1,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Goose\Image_024.jpg,1771260702.686733,1771260703.2424,0.5347758659184751,1771260703.3121984,1771260704.323753,1.0
1,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Elephant\Image_005.jpg,1771260704.3512971,1771260704.8501005,0.4770537866461821,1771260704.9143872,1771260705.9265623,1.0
1,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\filingcabinet\Image_017.jpg,1771260705.9529777,1771260706.5945055,0.6211621969260346,1771260706.6500657,1771260707.6743283,1.0
1,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Kale\Image_088.jpg,1771260707.7052975,1771260708.0398543,0.3173660371156641,1771260708.1074905,1771260709.1222026,1.0
1,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Basket\Image_072.jpg,1771260709.1500275,1771260709.4800255,0.30575827360077795,1771260709.5777652,1771260710.5895348,1.0
1,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Bagel\Image_031.jpg,1771260710.6183298,1771260711.3522985,0.7110334587693704,1771260711.5683916,1771260712.5929825,1.0
2,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Dog\Image_063.jpg,1771260856.6127868,1771260857.2580316,0.619140148364326,1771260857.3283179,1771260858.3416185,1.0
2,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Avocado\Image_083.jpg,1771260858.3700864,1771260858.96757,0.5755861972033909,1771260859.0462043,1771260860.0563555,1.0
2,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Soup\Image_040.jpg,1771260860.085354,1771260860.514482,0.40860290031179086,1771260860.5832493,1771260861.6057034,1.0
2,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Hummingbird\Image_026.jpg,1771260861.634292,1771260862.0687706,0.410077468609841,1771260862.131719,1771260863.1441512,1.0
2,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Barrel\Image_011.jpg,1771260863.1721458,1771260863.5166838,0.3259136995685519,1771260863.6028705,1771260864.6234875,1.0
2,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Fly\Image_057.jpg,1771260864.64989,1771260864.9480443,0.2745163508450962,1771260865.0187538,1771260866.039698,1.0
2,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Blueberry\Image_043.jpg,1771260866.069394,1771260866.4661875,0.3801908969228308,1771260866.5755527,1771260867.5862062,1.0
2,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Lamp\Image_080.jpg,1771260867.6153986,1771260867.9969895,0.3617308004826485,1771260868.0235324,1771260869.0374012,1.0
2,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Bus\Image_094.jpg,1771260869.0657938,1771260869.5606062,0.4727229070531629,1771260869.7786834,1771260870.7921646,1.0
2,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Cheetah\Image_004.jpg,1771260870.8201401,1771260871.3443973,0.5045097434345591,1771260871.3953128,1771260872.40711,1.0
3,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Chair\Image_013.jpg,1771260998.9312613,1771260999.407218,0.45468955872766154,1771260999.4414752,1771261000.456606,1.0
3,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Pineapple\Image_048.jpg,1771261000.4858513,1771261000.9916072,0.4842001118792454,1771261001.281907,1771261002.3045568,1.0
3,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Groundhog\Image_065.jpg,1771261002.3333406,1771261002.6505425,0.2922926071528794,1771261002.7222211,1771261003.7401059,1.0
3,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Boat\Image_093.jpg,1771261003.767346,1771261004.181768,0.3918058215926279,1771261004.2394438,1771261005.2563274,1.0
3,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Bee\Image_052.jpg,1771261005.2852318,1771261005.8708768,0.5641570223375487,1771261005.928945,1771261006.940078,1.0
3,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Asparagus\Image_082.jpg,1771261006.9660277,1771261007.7030923,0.7127527011453181,1771261007.7950478,1771261008.807507,1.0
3,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\icecream\Image_036.jpg,1771261008.835382,1771261009.3064542,0.44945919020308456,1771261009.3603902,1771261010.3732033,1.0
3,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\biganimal\Giraffe\Image_006.jpg,1771261010.4005568,1771261011.164715,0.7419841607168915,1771261011.255856,1771261012.2740993,1.0
3,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Peacock\Image_029.jpg,1771261012.3021796,1771261012.8667018,0.5424566673851926,1771261012.930893,1771261013.94496,1.0
3,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Camera\Image_074.jpg,1771261013.975894,1771261014.4962337,0.5059544432516792,1771261014.5460777,1771261015.5599747,1.0
