block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time
0,1,recognition,lure,False,PLACEHOLDERS/LURE_10.png,1764823991.1178958,True,1.0,3.3462469577789307,1764823995.540763,False,1764823994.3562849,0.821701834849029,1.528132989288849,1764823995.5527208,1764823996.777368,True,stay,1.450223684310913,1764824001.4799879,False,1764824000.0297642,1.0,False,1.0,True,0.0,0.17829816515097097,0.17829816515097097,1764824001.4821298,1.0,False,
0,2,recognition,studied,True,PLACEHOLDERS/IMAGE_1.png,1764824003.531501,True,0.12152777777777783,4.990654230117798,1764824009.5740201,False,1764824008.318889,0.23441949671694937,2.5698585550571913,1764824009.5805929,1764824011.5365582,True,stay,1.2199480533599854,1764824016.00622,False,1764824014.786272,0.12152777777777783,False,0.0,True,0.12152777777777783,0.23441949671694937,0.11289171893917153,1764824016.0076082,0.8784722222222222,False,
0,3,recognition,lure,False,PLACEHOLDERS/LURE_4.png,1764824018.037481,True,1.0,3.4157371520996094,1764824022.506616,False,1764824021.460136,0.08326471138552388,2.865874689882312,1764824022.5150888,1764824024.7954078,False,stay,1.4819788932800293,1764824029.5069199,False,1764824028.02494,1.0,False,1.0,True,0.0,0.9167352886144762,0.9167352886144762,1764824029.51141,1.0,False,
0,4,recognition,lure,False,PLACEHOLDERS/LURE_2.png,1764824031.5365179,True,0.0,6.680299997329712,1764824039.259361,False,1764824034.971457,0.1194465627169594,2.1083579708648053,1764824039.26232,1764824041.080066,False,stay,0.9984138011932373,1764824045.3392808,False,1764824044.340866,0.0,False,1.0,False,1.0,0.8805534372830406,0.1194465627169594,1764824045.34088,0.0,False,
0,5,recognition,studied,True,PLACEHOLDERS/IMAGE_3.png,1764824047.3679109,True,0.0,3.0302011966705322,1764824051.438594,False,1764824050.2396429,0.4582395833735743,1.7607718873914637,1764824051.440268,1764824052.832534,True,stay,4.516087770462036,1764824060.606375,False,1764824056.0902872,0.0,False,0.0,True,0.0,0.4582395833735743,0.4582395833735743,1764824060.613747,1.0,False,
1,1,recognition,studied,True,PLACEHOLDERS/IMAGE_100.png,1764824099.2124648,True,1.0,2.3801448345184326,1764824102.657866,False,1764824101.770856,0.7342101182890721,1.7421072429210485,1764824102.662067,1764824104.037596,False,stay,2.302119016647339,1764824109.572832,False,1764824107.270713,1.0,False,0.0,False,1.0,0.7342101182890721,0.2657898817109279,1764824109.5790012,0.0,False,
1,2,recognition,lure,False,PLACEHOLDERS/LURE_89.png,1764824111.613343,True,0.0,2.6524291038513184,1764824115.3067992,False,1764824114.3225012,0.930254987293276,1.8482439739331966,1764824115.312982,1764824116.755487,True,stay,1.0191402435302734,1764824121.0563042,False,1764824120.037164,0.0,False,1.0,False,1.0,0.06974501270672395,0.930254987293276,1764824121.061776,0.0,False,
1,3,recognition,lure,False,PLACEHOLDERS/LURE_67.png,1764824123.110053,True,0.7940160196820318,7.012481212615967,1764824131.1672692,True,1764824129.3887,0.19805288599667423,1.979443268199006,1764824132.686243,1764824134.2109199,False,switch,4.555711984634399,1764824141.9890409,False,1764824137.4333289,0.19805288599667423,True,1.0,False,0.20598398031796816,0.8019471140033257,0.5959631336853576,1764824141.995471,0.6980528859966743,True,1764824143.514074
1,4,recognition,studied,True,PLACEHOLDERS/IMAGE_8.png,1764824146.031975,True,0.0,3.3127288818359375,1764824150.388489,False,1764824149.523117,0.7472078070927204,1.3848534379976516,1764824150.390146,1764824151.518708,False,stay,0.8845963478088379,1764824155.6559622,False,1764824154.771366,0.0,False,0.0,True,0.0,0.7472078070927204,0.7472078070927204,1764824155.661609,1.0,False,
1,5,recognition,studied,True,PLACEHOLDERS/IMAGE_94.png,1764824157.686722,True,0.001736111111111105,6.887570142745972,1764824165.6231081,False,1764824161.755306,0.6231624663185727,1.6906278715431453,1764824165.629378,1764824166.951893,False,stay,3.318506956100464,1764824173.5061498,False,1764824170.187642,0.001736111111111105,False,0.0,True,0.001736111111111105,0.6231624663185727,0.6214263552074617,1764824173.511294,0.9982638888888888,False,
