timestamp,event_type
1771260624.027873993,start_task_onset
1771260625.646162033,begin_click
1771260626.541728973,welcome_onset
1771260631.204198360,motor_response
1771260631.487772703,instruction_onset
1771260634.627894878,instruction_continue
1771260634.883261204,practice_fixation_onset
1771260635.408747673,practice_fixation_offset
1771260635.447284222,practice_image_onset
1771260636.965534449,practice_image_offset
1771260636.991092205,practice_fixation_onset
1771260637.515293837,practice_fixation_offset
1771260637.568794966,practice_image_onset
1771260639.083221674,practice_image_offset
1771260639.107791901,practice_fixation_onset
1771260639.632052422,practice_fixation_offset
1771260639.680787802,practice_image_onset
1771260641.198927164,practice_image_offset
1771260641.266730309,instruction_onset
1771260643.277227402,recognition_fixation_onset_trigger
1771260643.798054695,recognition_fixation_offset_trigger
1771260643.837615728,recognition_image_onset_trigger
1771260645.351683140,recognition_image_offset_trigger
1771260648.074503660,participant_commit_trigger
1771260648.117359400,outcome_trigger
1771260649.670150042,recognition_fixation_onset_trigger
1771260650.184318066,recognition_fixation_offset_trigger
1771260650.224514008,recognition_image_onset_trigger
1771260651.247368813,recognition_image_offset_trigger
1771260651.294336081,instruction_onset
1771260652.915418386,partner_rating_onset
1771260654.618168116,partner_slider_settled_trigger
1771260655.600297451,partner_rating_complete
1771260659.386597872,participant_commit_trigger
1771260659.426802158,outcome_trigger
1771260661.056725025,instruction_onset
1771260663.068177938,recognition_fixation_onset_trigger
1771260663.594065905,recognition_fixation_offset_trigger
1771260663.654743433,recognition_image_onset_trigger
1771260664.669411898,recognition_image_offset_trigger
1771260667.767545938,participant_commit_trigger
1771260667.862058401,partner_rating_onset
1771260669.583274841,partner_slider_settled_trigger
1771260670.579839230,partner_rating_complete
1771260671.302142859,switch_stay_trigger
1771260675.165323496,switch_stay_response_trigger
1771260675.258752346,outcome_trigger
1771260677.469633102,instruction_onset
1771260678.722318172,instruction_continue
1771260679.123668671,instruction_onset
1771260682.477176428,instruction_continue
1771260682.840888977,instruction_onset
1771260687.502022028,instruction_continue
1771260687.894656420,instruction_onset
1771260691.480885506,instruction_continue
1771260691.898840666,instruction_onset
1771260693.892215014,instruction_continue
1771260694.214884520,instruction_onset
1771260695.933076143,instruction_continue
1771260696.200320005,study_fixation_onset_trigger
1771260696.810730696,study_fixation_offset_trigger
1771260696.861894369,study_image_onset_trigger
1771260697.873598814,study_image_offset_trigger
1771260697.898579121,study_fixation_onset_trigger
1771260698.463757038,study_fixation_offset_trigger
1771260698.539399385,study_image_onset_trigger
1771260699.565587521,study_image_offset_trigger
1771260699.599400520,study_fixation_onset_trigger
1771260700.063798666,study_fixation_offset_trigger
1771260700.213328362,study_image_onset_trigger
1771260701.236605406,study_image_offset_trigger
1771260701.265971661,study_fixation_onset_trigger
1771260701.554411411,study_fixation_offset_trigger
1771260701.642139673,study_image_onset_trigger
1771260702.657159328,study_image_offset_trigger
1771260702.686733007,study_fixation_onset_trigger
1771260703.242399931,study_fixation_offset_trigger
1771260703.312198400,study_image_onset_trigger
1771260704.323753119,study_image_offset_trigger
1771260704.351297140,study_fixation_onset_trigger
1771260704.850100517,study_fixation_offset_trigger
1771260704.914387226,study_image_onset_trigger
1771260705.926562309,study_image_offset_trigger
1771260705.952977657,study_fixation_onset_trigger
1771260706.594505548,study_fixation_offset_trigger
1771260706.650065660,study_image_onset_trigger
1771260707.674328327,study_image_offset_trigger
1771260707.705297470,study_fixation_onset_trigger
1771260708.039854288,study_fixation_offset_trigger
1771260708.107490540,study_image_onset_trigger
1771260709.122202635,study_image_offset_trigger
1771260709.150027514,study_fixation_onset_trigger
1771260709.480025530,study_fixation_offset_trigger
1771260709.577765226,study_image_onset_trigger
1771260710.589534760,study_image_offset_trigger
1771260710.618329763,study_fixation_onset_trigger
1771260711.352298498,study_fixation_offset_trigger
1771260711.568391562,study_image_onset_trigger
1771260712.592982531,study_image_offset_trigger
1771260712.623808146,study_fixation_onset_trigger
1771260713.639852285,study_fixation_offset_trigger
1771260713.764199257,instruction_onset
1771260716.102914333,instruction_continue
1771260716.898828268,recognition_fixation_onset_trigger
1771260717.423298120,recognition_fixation_offset_trigger
1771260717.451229334,recognition_image_onset_trigger
1771260718.470415592,recognition_image_offset_trigger
1771260718.538144112,partner_rating_onset
1771260720.002757311,partner_slider_settled_trigger
1771260720.900660992,partner_rating_complete
1771260723.942470312,participant_commit_trigger
1771260724.146650314,switch_stay_trigger
1771260725.606950045,switch_stay_response_trigger
1771260725.703895807,outcome_trigger
1771260727.744536400,recognition_fixation_onset_trigger
1771260728.485744715,recognition_fixation_offset_trigger
1771260728.672169685,recognition_fixation_onset_trigger
1771260729.195869446,recognition_fixation_offset_trigger
1771260729.230840206,recognition_image_onset_trigger
1771260730.251994133,recognition_image_offset_trigger
1771260732.331395149,participant_commit_trigger
1771260732.465051651,partner_rating_onset
1771260734.093030453,partner_slider_settled_trigger
1771260735.098532677,partner_rating_complete
1771260735.792042255,switch_stay_trigger
1771260736.675457478,switch_stay_response_trigger
1771260736.812228680,outcome_trigger
1771260738.892565012,recognition_fixation_onset_trigger
1771260739.621409178,recognition_fixation_offset_trigger
1771260739.732493639,recognition_fixation_onset_trigger
1771260740.257308722,recognition_fixation_offset_trigger
1771260740.285865068,recognition_image_onset_trigger
1771260741.307899952,recognition_image_offset_trigger
1771260741.429246902,partner_rating_onset
1771260743.702765465,partner_slider_settled_trigger
1771260745.081103086,partner_rating_complete
1771260748.326025486,participant_commit_trigger
1771260748.527665854,switch_stay_trigger
1771260749.992115736,switch_stay_response_trigger
1771260750.083459616,outcome_trigger
1771260752.135857105,recognition_fixation_onset_trigger
1771260752.580555677,recognition_fixation_offset_trigger
1771260752.689286709,recognition_fixation_onset_trigger
1771260753.203225136,recognition_fixation_offset_trigger
1771260753.233848333,recognition_image_onset_trigger
1771260754.258393764,recognition_image_offset_trigger
1771260754.386521816,partner_rating_onset
1771260755.517570019,partner_slider_settled_trigger
1771260756.522231102,partner_rating_complete
1771260758.974953175,participant_commit_trigger
1771260759.152412653,switch_stay_trigger
1771260760.022215366,switch_stay_response_trigger
1771260760.113403320,outcome_trigger
1771260762.186731577,recognition_fixation_onset_trigger
1771260762.633917332,recognition_fixation_offset_trigger
1771260762.695747614,recognition_fixation_onset_trigger
1771260763.206820011,recognition_fixation_offset_trigger
1771260763.234308720,recognition_image_onset_trigger
1771260764.257858515,recognition_image_offset_trigger
1771260764.398925304,partner_rating_onset
1771260765.631042242,partner_slider_settled_trigger
1771260766.644850731,partner_rating_complete
1771260774.314701796,timeout_warning_onset
1771260775.840169907,timeout_warning_offset
1771260776.039811134,switch_stay_trigger
1771260783.147001266,timeout_warning_onset
1771260784.663418531,timeout_warning_offset
1771260784.727504492,outcome_trigger
1771260786.785795212,recognition_fixation_onset_trigger
1771260787.556621552,recognition_fixation_offset_trigger
1771260787.650321007,recognition_fixation_onset_trigger
1771260788.173629522,recognition_fixation_offset_trigger
1771260788.204691648,recognition_image_onset_trigger
1771260789.223683596,recognition_image_offset_trigger
1771260792.927551746,participant_commit_trigger
1771260793.047446251,partner_rating_onset
1771260794.155245304,partner_slider_settled_trigger
1771260795.171209812,partner_rating_complete
1771260795.858626127,switch_stay_trigger
1771260797.042346716,switch_stay_response_trigger
1771260797.165225506,outcome_trigger
1771260799.238914251,recognition_fixation_onset_trigger
